id,name,link,description,cooktime,ingredients,recipe
45,maash ki daal - urad dal,https://fatimacooks.net/mash-ki-daal-pakistani-urad-dal/,"A delicious, creamy daal cooked in a typical onion and tomato masala and served with lashings of butter",45 minutes,"1 cup  (200 g) raw urad lentils (maash ki daal, washed and ideally soaked for an hour before cooking) | ¼ teaspoon   turmeric | ½ teaspoon   salt | ⅓ cup  (83 ⅓ ml) oil | 1   (110 g) medium onion, finely diced | 2   (180 g) small tomatoes, finely diced | 1 ½ tablespoon   garlic, minced about 5 cloves | 1 tablespoon   garlic, minced | 1 teaspoon   salt or to taste | ½ teaspoon   red chilli powder or to taste | 1 ½ teaspoon   coriander powder | 1 ½ teaspoon   cumin powder | 1 teaspoon   cumin seeds | ½ teaspoon   turmeric | 1 teaspoon   paprika Kashmiri red chilli powder or deghi mirch (for colour, optional) | optional garnishes: chopped fresh coriander, chopped green chillies, slivers of ginger, dried red chilli flakes.","Boil the urid lentils in an ample amount of water alongside salt and turmeric till al dente (almost cooked through, with a bit of a bite left) - about 25-30 minutes. Once done, drain and set aside. You can go on to making the onion and tomato masala whilst the lentils are boiling. | In a separate pan, heat the oil and add the onions. Sauté this on high heat till they begin to turn lightly golden, stopping well before they turn a dark shade - about 5-7 minutes. | Add the tomatoes, the ginger and garlic all the spices including the cumin seeds and a few splashes of water. Sauté this very well, stirring constantly to help break down the tomatoes. The mixture will become thick and jammy. This may take up to 15 minutes and if the tomatoes are not breaking down well, you may need to add some additional water to continue cooking and breaking down the tomato. | Once the masala has been prepared, add in the cooked urid lentils, the green chilli and ⅔ cup/160ml of water. Bring to a boil and then cook covered with a lid on low for about 10 minutes, or until the lentils are tender. | To finish, garnish with any or all of the following: freshly chopped coriander, slivers of ginger, chopped green chilli and chilli flakes."
46,tadka dal (pakistani daal recipe),https://fatimacooks.net/tadka-dal-indian-pakistani-lentils-the-way-my-mother-makes-them/,No Description ❌,1 hour,⅓ cup  (70 g) moong daal lentils | ⅔ cup  (140 g) red lentils masoor | salt to taste | ½ teaspoon   turmeric | ½ teaspoon   red chilli powder or to taste | ½ teaspoon   coriander powder | ¼ cup  (65 ml) oil | 1   medium onion sliced | 4-5 cloves   garlic sliced | 1 teaspoon   cumin seeds,"Wash your lentils well, then add 4-5 cups of water and all the powdered spices. Bring to a boil then cover with the lid slightly ajar and allow to simmer for 45-60 minutes, until the lentils are tender and integrated with the water. Make sure you keep an eye on the lentils to make sure it isn't sticking to the bottom. Add water as needed. | Add a handful of chopped coriander to the top of the daal | To prepare the tadka, in a separate pan heat the oil and add your sliced onion and garlic. Fry till they become golden brown - but not black! During the last 30 seconds, add the cumin seeds | Once the tadka is ready, pour directly over the coriander leaves on the daal. | Tadka Dal is ready! Serve with white basmati rice or chapatti or on it's own - anyway you fancy, really!"
47,khichdi,https://fatimacooks.net/pakistani-khichdi-recipe/,No Description ❌,40 minutes,"½ cup  (100 g)  white basmati rice | ½ cup  (100 g) lentils, any kind I used half half moong and masoor lentils | 2 tablespoon   ghee or butter | 2   bay leaves | 1   big chunk whole cinnamon | 1 teaspoon   cumin seeds | 1   medium sized onion sliced | 2 teaspoon   salt or to taste | 1.5 teaspoon   coarsely ground black pepper or to taste | yogurt and butter to serve","Wash and soak the rice and lentils in the same bowl for at least 30 minutes. Drain before using. | Heat the ghee/butter in a pot and fry the onions, cinnamon, cumin seeds and bay leaf on medium heat and till the onions are soft and translucent. We don't want to brown them too much. | Once the onions are soft, add the drained rice, lentils, spices and 4 cups of water. Bring to a boil and then cook on high till most of the water dries up and the Khichdi is at a consistency you like. Stir often from the sides and bottom to ensure the Khichdi doesn't stick to the pan. | Once the Khichdi is at your desired consistency, turn the heat down to the lowest, cover and steam for 5-10 minutes. | Serve warm with a dollop of yogurt and a knob of butter."
48,punjabi prawn masala curry,https://fatimacooks.net/prawn-masala-curry/,No Description ❌,25 minutes,"¼ cup  (62 ½ ml) oil | 1   (110 g) medium onion, diced | 2 tablespoon   minced garlic | 2 tablespoon   minced ginger | 3   (350 g) tomatoes, chopped | 12 oz  (350 g) prawns shelled and deveined | 2 teaspoon   cumin powder | 2 teaspoon   coriander powder | 1 teaspoon   garam masala | 1.5 teaspoon   salt or to taste | 1 teaspoon   red chilli powder | 1 teaspoon   cumin seeds | 0.5 teaspoon   turmeric | 0.5 teaspoon   paprika (optional, exclusively for colour) | green chilli. lemon slices and chopped coriander (for garnish)","Heat the oil in a pan. Add the onions and fry on a medium high heat, till the onions are translucent and are beginning to become golden | Add all the spices, the ginger and garlic. Give this a fry for a minute | Add the tomatoes. Give this a quick and vigorous stir and fry for about 3 minutes, then add a quarter a cup of water and simmer this on low for about 5-10 minutes, until the mixture looks jammy and thick | Add the prawns. Allow this to cook uncovered on high for 5 minutes, stirring often, until the prawns are cooked through. Remember not to overcook the prawns. | If you feel like having a looser masala, add some additional water and bring the water to a boil - this will allow the water to meld in with the rest of the curry | Garnish with coriander, green chillis and lemon. Serve hot"
49,minced fish curry (fish keema),https://fatimacooks.net/fish-keema/,"A quick, easy and delicious recipe on the table in under 20 minutes.",20 minutes,"3 tablespoon   oil | 1    medium onion, chopped | 4 cloves   garlic minced | 3   medium tomatoes, chopped | 1 ⅓ lb  (600 g) white fish in chunks | coriander for garnish, optional | 2   green chilli for garnish, optional | ½ teaspoon   whole cumin seeds zeera | 1 ½ teaspoon   salt | 1 ½ teaspoon   ground coriander powder | ¾ teaspoon   chilli powder (½ for less spice) | ½ teaspoon   cumin powder | ½ teaspoon   pepper","In a pot, heat the oil on medium-high, about 3 minutes | Add in the chopped onions, minced garlic and whole cumin seeds. Allow to brown, stirring often. | Add in the chopped tomatoes, spices and about ½ a cup of water. Bring to a boil, then simmer on medium-low heat, stirring occasionally. We are aiming to get the gravy to a thick, mush consistency, slightly thicker than the picture of the gravy above. | Once the gravy has thickened and there isn't a lot of water left, add in the fish chunks. Bring to a boil and simmer for 10 minutes. The fish will release a lot of its own water, therefore there should be no need to add any extra water. | Begin to stir the curry and break the fish chunks with your spoon. This should not take a lot of effort as the fish will have softened considerably by now. Continue breaking until the fish resembles keema (mince). | Keep cooking the curry on medium/low heat till the water evaporates. The curry is complete when there is little to no soupy water. | Serve with rice or chapattis and garnish with chopped fresh coriander and green chilli (optional)."
50,prawn pilau biryani rice,https://fatimacooks.net/prawn-pilau-biryani-rice/,Have a delicious dinner ready on the table in no time with quick-cooking prawns and basmati rice. This is one of my favourites!,35 minutes,3 tablespoon  (45 ml) oil | 1   (150 g) large onion chopped | 4 cloves   garlic minced | 1 inch   ginger minced | 1   medium stick whole cinnamon | 3   (370 g) medium tomatoes very finely diced | 2 cups  (400 g) basmati rice (washed and soaked for at least 30 minutes before using) | 12 oz  (350 g) raw king prawns | 3 cups/750ml water (IMPORTANT: please read notes if you are changing the serving size) | 3 teaspoon   salt | ½ teaspoon   turmeric | 1 teaspoon   ground coriander | 1 teaspoon   black pepper coarsely ground is best,"Heat oil in a pot and add the onions, cinnamon, garlic and ginger. Sauté till golden brown. | Add the tomatoes and spices and a splash of water. Cook till the tomatoes break down into a soft mix. | Add the rice, prawns and water. Bring to a boil. | Once at a boil, allow the rice and all the ingredients to cook together. | After 10 minutes, 90% of the water will have evaporated. Cover and bring the heat to the lowest setting. Allow this to steam for 12-15 minutes. | Fluff up before serving.."
51,pabda fish 'bhuna' curry,https://fatimacooks.net/pabda-fish-bhuna/,No Description ❌,30 minutes,½ lb  (250 g) Pabda fish | 2   onions sliced thin and long | 4 cloves   garlic minced | 2   medium tomatoes chopped | 1 teaspoon   whole cumin seeds | 1 teaspoon   ground coriander powder | 1 teaspoon   Kashmiri red chilli powder | ½ teaspoon   red chilli flakes | 2 teaspoon   salt | 0.5 teaspoon   turmeric | 1   green chili for garnish | Fresh coriander for garnish | 4 tablespoon   oil | Additional oil for frying the fish as needed,"First, we take off the head of this fish. Cut the head of at an angle and clean out the innards using a sharp knife. | Rub the fish well in 1tsp salt and ½tsp turmeric and allow to marinate in a colander for a minimum of half an hour. | Fry the fish (shallow or deep, your call) for 1-2 minutes in very hot oil. Set aside. | In a skillet or pan big enough to fit all the fish in one layer, add 3-4 tablespoon of oil, the sliced onions and minced garlic. Sauté this till very lightly brown. | Add the tomatoes and spices. Sauté this on high heat till the tomatoes slightly mash and release some of their water. | At this point, add the fish in a single layer. Using a spoon, take some of the onion and tomato masala and spread it over the fish. Turn the heat to low, cover and allow to simmer for 5 minutes. | Garnish with chopped coriander and green chilli. Serve immediately."
52,prawn karahi,https://fatimacooks.net/prawn-karahi-masala-pakistani-indian-curry-recipe/,"Prawn Karahi is a delicious prawn curry cooked in an aromatic tomato, ginger and garlic based gravy. This quick and easy recipe is a godsend of a weeknight dinner!",25 minutes,"0.5 cup  (125 ml) oil or ghee | 2   heaped tablespoon minced garlic preferably fresh | 2   heaped tablespoon minced ginger preferably fresh | 4  medium sized  (450 g) tomatoes fresh or tinned, pureed in a blender | 1.1 lb  (½ kg) raw prawns | 4   fresh green chillies halved | 1.5 teaspoon   salt or to taste | 3 teaspoon   paprika or Kashmiri red chilli powder (essential for the colour) | 0.5 teaspoon   turmeric | 2 teaspoon   cumin powder | 1 teaspoon   coriander powder | 0.5 teaspoon   kalonji black seeds | 1 teaspoon   red chilli powder | half a bunch chopped coriander | 2   green chillies quartered | fresh ginger cut into matchstick slices as much as desired | 1 teaspoon   kalonji *onion seeds)","Heat the oil in a pan, wok or pot. Once the oil is hot, flash fry the prawns for one minute. Set aside | In the same oil, add in the minced ginger and garlic and fry for 2 minutes | Add all the spices and green chillis. Fry for a minute | Add the tomatoes. Cook this on high heat, stirring. Allow this to cook for 5-10 minutes, until the gravy is thick and you can see oil separating around the edge of the pan. You'll also see a lot of holes bubbling in the gravy. This is ideal! | Once the gravy is ready, add back the prawns and continue to cook this on high for a further 5 minutes (7-8 minutes for jumbo prawns) | Your prawn karahi is ready! Garnish with freshly chopped coriander, matchstick-cut ginger, kalonji seeds and green chillis."
53,afghani pulao | an easier kabuli pilau,https://fatimacooks.net/afghani-pulao-kabuli-pilau-easier-recipe/,No Description ❌,2 hours 30 minutes,1.7 lb  (750 g) mutton bone in | 8 cloves   garlic | 1   black cardamom pod | 8   green cardamom pods | 1 tablespoon   coriander seeds | 1 tablespoon   whole black pepper corns | 1 tablespoon   cumin seeds | 5   cloves | 2   bay leaves | 1   large cinnamon stick | 2 tablespoon   salt or to taste | 4-5 tablespoon  (60 ml) oil | 2   (300 g) medium onions sliced | 3  cups  (600 g) basmati rice ideally sela | 1 tablespoon   cumin seeds | 4 cups/1l water (IMPORTANT: please read notes if you are changing the serving size) | 2   (120 g) medium sized carrots julienne cut | 1   large handful raisins or sultanas | 1   large handful nuts lightly crushed (I used pistachios but any will do) | 2 tablespoon  (25 g) sugar | 4 tablespoon  (60 ml) oil for frying,"Add all the ingredients for the yakhni to a pot and cover with enough water to submerge all the meat. Bring to a boil and then cover, simmering for 1.5-2hrs, till the meat is tender but not falling off the bone. Keep checking after the 1.5hr mark to get till the right doneness. | Meanwhile, in a pan heat 3-4tbsp of oil and add your julienne-cut carrots. Saute these on medium heat for 5 minutes, till they are tender, and then add the raisins. Cook for an additional 5 minutes, till the raisins begin to swell up. Finally, add 2 tablespoon of sugar and the lightly crushed nuts and cook for just a minute. Turn off the heat. | Take a clean sheet of aluminium foil and place the carrot mixture with all the oil onto it. Fold it around the edges tightly into a parcel shape. Set aside. | When the mutton is tender, strain out the liquid stock using a colander and discard the whole spices. Reserve the stock. | In a heavy based pot, heat 4-5 tablespoon of oil and add the thinly sliced small onions. Sauté this on medium-high till the onions become lightly brown. The darker the onions become, the darker the rice will be. I prefer my Kabuli Pilau to be a light shade of brown, therefore I sauted my onions this much. You can saute them more if you prefer a darker shade. Add in the cumin seeds when your onions are just approaching your desired colour, so they get 1-2 minutes of frying. | Once the onions are to your desired colour, add the mutton from the stock. Sauté for 5-8 minutes | Add the reserved yakhni/stock. If you're short of stock, you can top it up with water. Bring to a boil. | Add the basmati rice. | Cook on high heat till the water begins to boil, and then reduces, until there is very little water left in the pot. Stir once or twice using a flat spoon (see picture below), being careful not to break any rice pieces. | At this point, reduce the heat to the lowest possible, add the foil parcel full of the carrot mix and cover with a lid wrapped with a tea towel. Allow it to steam like this for 10-15 minutes. | To serve, plate the rice on a rice platter and scatter with raisins, nuts and carrots from the foil parcel on top."
54,chana pulao (chickpeas and rice pilau),https://fatimacooks.net/chana-pilau-pulao-pakistani-chickpeas-rice/,No Description ❌,45 minutes,4 tablespoon  (60 ml) oil or ghee | 1   (110 g) medium onion sliced | 1 tablespoon   cumin seeds | 3 teaspoon   salt or to taste | 6   whole cloves | 2   whole black cardamoms | 1   medium stick cinnamon | 2-3   whole green chilies optional | 3 cups  (500 g) cooked chickpeas (drained weight) | 2 cups  (400 g) basmati rice (washed and soaked in water for at least 30 minutes) | 3 cups/750ml water (IMPORTANT: please read notes if you are changing the serving size),"In a deep pot, heat the oil and add the sliced onions. Fry till the onions become golden - about 10 minutes.. | Add all the spices, salt and green chillies if using. Fry these for a few more minutes, until the onions become a dark gold. | Add the rice, chickpeas and water, and bring to a boil. If you have adjusted the serving size, please refer to the notes for how much water you'll need to add. | Cook the rice and chickpeas on high heat, gently stirring once or twice (but not breaking any rice!) until most of the water has dried out - about 8 minutes. | Once the water has dried out, secure a tight fitting lid onto the pot and turn the heat down to the lowest setting, to steam for 10-15 minutes. You can wrap the lid in a clean tea towel, so it absorbs more steam, leading to fluffier and rice. | Gently fluff up the rice using a slotted spoon or a fork immediately after steaming, even if you do not intend to serve it immediately"
55,"how to cook basmati rice (perfect, soft + fluffy!)",https://fatimacooks.net/how-to-cook-basmati-rice-perfect-soft-fluffy/,No Description ❌,No cooktime ❌,"2 cups  (400 g) basmati rice | 2 teaspoon   salt | 2 teaspoon  (10 g) butter, oil or ghee | water enough to completely submerge the rice","Wash the basmati rice well, until the water runs clear. You can do this over a colander, making sure you swish the rice around so all the starch comes out. Alternatively, you can do this in a large bowl by adding water, swishing it around till it becomes cloudy and then tipping the water out - you'll need to do this several times until the water runs clear. | Cover the basmati rice in a large bowl with enough water to submerge it completely. Allow this to soak for at least 30 minutes. | In a large pot or pan, add an ample amount of water and salt. There should be more than enough water to completely submerge the rice. Bring the water to a rolling, rumbling boil. | Drain out the water from the soaked basmati rice, then add the basmati rice into the boiling water. | Allow the rice to cook over a high heat, being careful not to stir too much and being gentle when doing so. Cook this until the rice is al dente (about 80% cooked) - this can take between 6-8 minutes, but the most accurate gauge will be checking the rice yourself. It should be cooked, but still have a bite to it. | Once the rice is al dente, drain it out into a colander. You can discard the water. | In the same pot/pan you were using to cook the rice, add the butter/oil/ghee. Place this over the lowest heat setting possible. Swirl the fat around, then add the basmati rice you've just drained. Very carefully fold the rice into the fat, being cautious not to break any grains. | Place a tight-fitting lid lined with a clean tea towel over the rice, and allow the rice to steam undisturbed for 15-20 minutes. Optionally, you can place a pre-heated flat pan under the pot/pan the rice is steaming in to help it steam more evenly. | Fluff the rice up gently using a flat spoon immediately after the steaming time is over, even if you don't intend on serving it immediately."
56,kheer - rice pudding,https://fatimacooks.net/kheer-recipe/,"Here is a one-pot no fail recipe for a favourite dessert, kheer. This requires a lot of stirring, but not much more other than that! This is an exceptionally simple, delicious recipe to have on hand",10 minutes,5 cups  (1 ¼ l) full-fat milk | ½ cup  (100 g) basmati rice | 5   pods cardamom seeds elaichi | ½ cup  (100 g) sugar,"Pour the milk into a pot and bring to a soft simmer on medium heat | Whilst the milk is heating, put the pods of cardamom seeds into a plastic bag and beat them with a rolling pin till the black seeds from inside the pod are released, as shown in the picture. Discard the skins | Once the milk is simmering, add in the rest of the ingredients. Allow it to simmer, uncovered for 1.5 hours, or until your desired consistency is reached | You will need to stir the kheer often and scrape the bottom of the pot to prevent it from sticking. If a filmy layer (malai) forms on top, simply mix it in. Don't worry if the stirring breaks some of the rice - this will give the kheer a good texture. | When the kheer is done, garnish with nuts and/or dried fruit. Enjoy!"
57,zarda (pakistani sweet rice),https://fatimacooks.net/zarda/,Zarda is a sweet Pakistani rice dish that is super simple to make and is an exceptionally delicious treat!,30 minutes,1 ½ cups  (300 g) basmati or sella rice | 5   green cardamom pods | ¾ teaspoon   yellow food colouring | 1   handful chopped nuts | 1   handful raisins or sultanas | 1 ¼ cups  (265 g) sugar | 1 tablespoon  (15 ml) ghee,"Wash and drain the rice till the water no longer runs cloudy - about 5 washes. Then, soak the rice in water for at least 30 minutes. | In a large pan, add the rice (drained), the cardamom pods, the food colouring, 1tbsp ghee and enough water to cover everything well. Bring everything to a boil | Whilst the rice is coming to a boil, in a seperate pan add 1tbsp of ghee, 1tbsp sugar and the chopped nuts and raisins. Heat this on medium heat, stirring often to roast the nuts well. Keep this roasting till they are needed. | Once the rice is fully cooked through, drain everything in a colander. | In the same pan the rice was cooking in, we're going to start layering the Zarda much like we do for Biryani. First, take ⅓ of the rice and put it at the bottom of the pot. Then, add ⅓ of the sugar, then ⅓ of the nuts and raisins. Repeat the layering process till all the rice sugar and nuts and raisins have been used up. You should end up with a layer of nuts and raisins on top. | Cover the pot and turn the heat to the lowest setting possible. Allow the Zarda to steam for 15-20 minutes. Once done, uncover and carefully stir the rice to mix in the sugar. preferably with a panja or slotted spoon. Be careful not to break the rice! Let the rice rest for 5-10 minutes before serving."
58,leftover rice kheer,https://fatimacooks.net/leftover-rice-kheer/,No Description ❌,1 hour,"2 cups   approx 400g cooked basmati rice | 4 cup   1 litre full-fat milk | ½ cup   100g sugar, or to taste | ¾ teaspoon   cardamom powder | nuts and raisins or garnish","Add the sugar, milk, cardamom powder and rice into one pot. Feel free to use the same pot the rice was cooked in. | Turn the heat to medium and cook, continuously stirring and scraping the bottom of the pan until the milk has condensed into a thick, pillowy cream and sticks to the rice. Don't worry about mashing the rice - it adds to the texture. | Garnish with nuts and raisins and serve warm or cold. I like mine warm!"
59,biryani using leftover curry,https://fatimacooks.net/leftover-curry-biryani/,No Description ❌,40 minutes,2 cups  (400g) white basmati rice | 1.5 teaspoon   cumin seeds | 6   green cardamom pods | 2   black cardamom pods | 2   bay leaf | 1   large stick cinnamon | 2.5 teaspoon   salt or to taste | 1 teaspoon   oil | 1   handful fresh coriander chopped | 1   handful fresh mint chopped | other garnishing see notes | 0.5 teaspoon   orange/yellow food colour | 1 tablespoon   kewara water | 2 medium  (220 g) onions sliced | oil for deep frying the onions | leftover curry see notes,"Prepare the rice by first soaking it in water for at least half an hour. Drain and then add to a pot along with all the rice ingredients and plenty of water. Bring to a boil and cook on high until the rice is 80% cooked. Drain in a colander | As the rice is cooking, heat a good amount of oil in a pan. Fry the onions till golden brown on a high heat and set aside for the garnish. | Now the fun part! The layering. Begin with half of the curry. Then add half the rice, then garnish with half of the garnishing ingredients and any other garnishing you are adding (see notes).Repeat this layer a second time. | Turn the heat to the lowest possible and cover the biryani with a firm-fitting lid, allowing it to steam for 15-20 minutes | Serve hot and fresh with a side of raita and salad"
60,matar pulao | peas pilau,https://fatimacooks.net/matar-pilau-pea-pulao/,No Description ❌,45 minutes,"¼ cup  (65 ml) oil | 2   (220 g) medium onions, sliced finely | 2 tablespoon   cumin seeds | 9   whole cloves | 1   small stick cinnamon | 2   green whole chillies (optional) | 1 ½ cups  (220 g) frozen peas | 3 cups  (600 g) white basmati rice (wash and soak for half an hr in water before using) | 3.5 teaspoon   salt (or to taste) | 4 cups/1l water (IMPORTANT: please read notes if you are changing the serving size)","In a pot, heat up the oil and add the sliced onions. Once they become golden, add the cumin seeds, cloves and cinnamon stick. Continue to fry the onions till they become a deep shade of gold. | Add the peas and stir-fry them till they defrost. | Add the water and salt, and bring to a boil. If you are adjusting the serving size, please refer to the notes for the correct quantity of water. | Add the basmati rice. | Cook on high heat till all the water has dried out. Stir gently with a slotted spoon, using a folding motion instead of a vigorous stir, to avoid breaking the rice grains. | Once the water has dried out, turn the heat to the lowest setting possible, cover the pot with a tight-fitting lid and allow the rice to steam for 15 minutes. If you have a flat pan (tava), you can place this below the pot too - this helps prevent the bottom layer of rice from burning) | Fluff well once the rice is done, even if you don't intend to have the rice straight away to prevent it from getting clumpy."
61,how to make the best pulao | tips + troubleshooting,https://fatimacooks.net/how-to-make-the-best-pulao-rice-tips-on-making-good-pilau-rice-everytime-recipe-guideline/,No Description ❌,No cooktime ❌,No ingredients ❌,No Recipes ❌
62,mutanjan (sweet rainbow rice),https://fatimacooks.net/mutanjan-sweet-colourful-pakistani-rice-meethe-chawal/,No Description ❌,40 minutes,3 cups  (600 g) white basmati rice washed and soaked for 30 minutes | 1 tablespoon   ghee/unsalted butter for cooking the rice with | 8   green cardamoms | ½  cup  (75 g) almonds blanched and halved | small handful sultanas | ¼ cup  (65 g) oil/ghee | 2.5 cups  (½ kg) white sugar | ¼ teaspoon   red food colour or as needed | ¼ teaspoon   orange food colour or as needed | ¼ teaspoon   yellow food colour or as needed | ¼ teaspoon   green food colour or as needed,"Cook the presoaked basmati rice till 75% done with a spoonful of ghee or unsalted butter. Drain and set aside | In 4 seperate bowls/glasses, add ⅛ teaspoon of each food colour to 1.5 teaspoon of water and spoon in 2tbsp of rice in each bowl/glass. Mix to coat all the rice in the colour. If you feel like you want a stronger colour, add some more food colour. Keep this aside till needed | In a pot, add your oil/ghee and your blanched almonds, raisins and cardamom. Cook this on a medium high heat, stirring often, till the raisins begin to lightly darken. This shouldn't take longer than 3-5 minutes | Add your sugar and a splash of water. Cook this on high heat till the sugar granules dissolve into the water. You want to cook this down until the sugar becomes thick and gloopy. The sugar will probably sizzle and bubble a bit and that is fine! You just need to make sure you don't cook the sugar down so much that it becomes hard. There is no set time for how long this will take as it depends on the heat, but mine took about 15 minutes till it became very thick. Also, KEEP STIRRING! If you don't stir, your sugar may darken and this will result in dark looking rice | Once the sugar has thickened and reduced, add your rice and stir to coat the rice with the sugar. Ideally, there shouldn't be a lot of moisture in the pot. It is OK if you find you have a lot of moisture - mine had loads! Just continue to cook on high until the water has reduced to a small amount. | Once the water had reduced (the rice will look wet and there will be moisture gathering around the rim of the pot) add the coloured rice to the top as shown in the picture. Turn the heat to the lowest possible setting, cover and allow the Mutanjan to steam cook for 15 minutes. | Serve immediately if you can. If you aren't serving immediately, fluff the rice up so it doesn't stick together - it will have a tendency to do that thanks to all the reduced, sticky sugar! Garnish with a variety of nuts, raisins, mithais etc. Top tip! Layer the coloured rice on the top and white at the bottom, if you can."
63,sweet and sour 'chilli' paneer,https://fatimacooks.net/sweet-and-sour-chilli-paneer/,No Description ❌,25 minutes,6 tablespoon  (90 g) tomato ketchup | 2 tablespoon   soy sauce | 2 teaspoon   sugar | 0.5 teaspoon   red chilli powder adjust to taste | 2 tablespoon   white vinegar | 0.5 cup  (125 ml) water | 10 oz  (275 g) paneer cubed | 1  cup  (150 g) finely sliced spring onions or onions thinly sliced | 5 cloves   garlic minced | oil for frying | ½   green capsicum sliced into long strips,"Whisk together all the ingredients for the sauce and set aside | In a pan, deep fry the paneer cubes for 3-4 minutes, till they brown lightly. Remove and set aside. | Remove all but 2 tablespoon of the oil from the pan. To this, add the sliced spring onions (or onion) and garlic and sauté on a medium heat, till the onions are light brown - about 7 minutes. | Add the sauce to the pan. Bring to a boil and cook till it thickens slightly - about 4 minutes. | Add the fried paneer cubes and capsicum slices into the sauce. Stir to coat the paneer and capsicum in all the sauce and allow it to simmer uncovered over a medium heat until the paneer is warmed through and the sauce has thickened to your liking."
64,the best saag paneer!,https://fatimacooks.net/best-saag-paneer-recipe/,"A popular Punjabi curry made using leafy greens and cheese, this dish is very popular on the Indian takeout scene and for good reason! This is a comforting, delicious recipe to have on hand",30 minutes,"1.1 lb  (½ kg) paneer cubed | oil as needed | 1   (110 g) medium onion finely chopped | 6 cloves   garlic minced | 1 tablespoon   ginger minced | 1.5 teaspoon   cumin seeds | 2 teaspoon   coriander powder | salt to taste | 0.5 teaspoon   chili flakes | 0.5 teaspoon   turmeric | 2 lb  (1 kg) mixed leafy greens, chopped - either fresh, frozen or tinned mustard leaves, spinach, spring greens, arugula etc | 5 tablespoon  (75 ml) double cream known as heavy whipped cream in the US","Heat enough oil in a pot/pan to generously fry the paneer in. Once hot, add the paneer and fry on a medium-high heat, stirring often to ensure the paneer browns evenly. Once the paneer is golden, drain and set aside. | If the oil in the pot/pan doesn't have small bits of paneer crumbs remaining, you may re-use the oil for the next step. You just need about 3-4tbsp of it, so remove any excess. If the oil has crumbs, you can switch out for a new batch of oil. | In the oil, add the chopped onion and fry until translucent. Add the ginger, garlic and spices and fry for 2 more minutes. | Add in the leafy greens. Allow them to wilt and release their water fully on a medium to high heat without the lid. | At this stage, if you want a smoother saag base, you can pulse it in the food processor. I didn't want a smooth base, so I didn't. | Add in the paneer. Allow everything to simmer together on a medium heat for a few minutes, stirring in the double cream right at the end."
65,paneer jalfrezi,https://fatimacooks.net/paneer-jalfrezi/,"A delicious, easy vegetarian curry made using a traditional Indian/Pakistani onion and tomato base",45 minutes,"1.1 lb  (½ kg) paneer cubed | ½ cup  (125 ml) oil, for the onion and tomato base and additional oil to fry the paneer | 1.5   (165 g) onions, diced preferably white | 4 cloves   garlic minced | 1 teaspoon   ginger minced | 1.5   (180 g) tomatoes chopped | 2 tablespoon   tomato puree optional | 1 teaspoon   chilli flakes | 2 teaspoon   coriander powder | 1 tablespoon   cumin seeds | 2 teaspoon   paprika | 0.25 teaspoon   turmeric | salt to taste | 2   capsicums bell peppers, cubed. I prefer using a variety of colours | 3 tablespoon  (45 ml) vinegar | Fresh coriander to garnish","Heat a neutral oil in a pan and begin to fry the paneer on a medium to high heat, stirring often until the paneer is crispy and golden. Set aside. | Heat about ¼-1/3 cup of oil (as per your preference), and then add the chopped onions. Fry these over a medium to high heat, stirring often until they begin to turn gold. | Add the spices, ginger and garlic. Stir and fry for a few minutes. | Turn the heat down a little and add the tomato puree and tomatoes. Stir, using your spoon to help break down the tomatoes (the finer you chop them, the quicker this will be). Add a bit of water if you feel there is a need. Continue to fry this mixture until it cooks down into a jammy, thick, dark and glossy paste. | Add the paneer cubes, toss them around the mixture and allow them to sear with everything. Then add ¾ cups of hot water, turn the heat to low and simmer with the lid on for 10 minutes. | Take the lid off, add the cubed capsicums and vinegar and then allow the curry to simmer on low again with the lid on for 5 minutes. | Garnish with fresh coriander and serve with hot naan or rice."
